Организация,Сервис,Задача,Время
"ГДД","Сервис расчета зарплаты","Убраны 9, 247, 983 УЦ из логики расчета ",14
ГДД,Сервис расчета зарплаты,Обновлен отчет по количеству продаж ,14
ГДД,Сервис расчета зарплаты,Обновлен способ расчета мотивации по курсам ,18
ГДД,Сервис расчета зарплаты,Добавлен механизм фиксированной привязки партнера ,9
ГДД,Сервис расчета зарплаты,Убраны устаревшие бонусы партнеров ,8
ГДД,Работа с сервером,Обновлена версия Helm-чартов в GitOps репозитории Flux ,5
ГДД,Работа с сервером,Обновлен PostgreSQL до актуальной минорной версии ,5
ГДД,Работа с сервером,Настроена репликация бакетов и ротация данных MinIO ,7
