Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Добавлено получение план/факта в калькуляторе ,10
ГДД,Работа с сервером,Обновлен Helm-чарт сервиса salary до актуальной версии ,15
ГДД,Работа с сервером,Обновлена конфигурация Flux GitOps для автодеплоя сервисов ,15
ГДД,Работа с сервером,Обновлен тэг образа PostgreSQL в Helm values ,12
ГДД,Работа с сервером,Настроены политики резервного копирования MinIO ,14
ГДД,Работа с сервером,Обновлен GitLab CI/CD пайплайн для автосборки образов ,14
